;"P, hPa";"T, °C";"RH, %"
3.8.2026 9:11:03 ;996.64;31.86;30.96
3.8.2026 9:12:03 ;996.64;31.85;30.82
3.8.2026 9:13:03 ;996.66;31.66;30.93
3.8.2026 9:14:03 ;996.64;31.62;30.84
3.8.2026 9:15:03 ;996.64;31.47;30.99
3.8.2026 9:16:03 ;996.63;31.47;30.96
3.8.2026 9:17:03 ;996.62;31.50;30.79
3.8.2026 9:18:03 ;996.61;31.39;30.75
3.8.2026 9:19:03 ;996.61;31.20;30.85
3.8.2026 9:20:03 ;996.60;31.18;30.93
3.8.2026 9:21:03 ;996.60;31.24;31.26
3.8.2026 9:22:03 ;996.59;31.31;30.89
3.8.2026 9:23:03 ;996.62;31.27;30.73
3.8.2026 9:24:03 ;996.62;31.18;30.84
3.8.2026 9:25:03 ;996.62;31.12;30.75
3.8.2026 9:26:03 ;996.62;31.01;30.77
3.8.2026 9:27:03 ;996.61;30.95;30.90
3.8.2026 9:28:03 ;996.60;30.92;30.86
3.8.2026 9:29:03 ;996.58;30.99;30.86
3.8.2026 9:30:03 ;996.57;31.09;30.93
3.8.2026 9:31:03 ;996.57;31.10;30.76
3.8.2026 9:32:03 ;996.58;31.06;30.68
3.8.2026 9:33:03 ;996.58;30.98;30.65
3.8.2026 9:34:03 ;996.57;30.95;30.63
3.8.2026 9:35:03 ;996.57;30.91;30.67
3.8.2026 9:36:03 ;996.56;30.86;30.68
3.8.2026 9:37:03 ;996.55;30.87;30.66
3.8.2026 9:38:03 ;996.55;30.87;30.61
3.8.2026 9:39:03 ;996.53;30.83;30.66
3.8.2026 9:40:03 ;996.53;30.79;30.62
3.8.2026 9:41:03 ;996.50;30.80;30.60
3.8.2026 9:42:03 ;996.49;30.79;30.61
3.8.2026 9:43:03 ;996.48;30.76;30.52
3.8.2026 9:44:03 ;996.51;30.65;30.70
3.8.2026 9:45:03 ;996.50;30.60;30.73
3.8.2026 9:46:03 ;996.50;30.54;30.82
3.8.2026 9:47:03 ;996.49;30.45;30.91
3.8.2026 9:48:03 ;996.50;30.39;30.98
3.8.2026 9:49:03 ;996.51;30.44;30.93
3.8.2026 9:50:03 ;996.53;30.36;31.02
3.8.2026 9:51:03 ;996.53;30.39;31.06
3.8.2026 9:52:03 ;996.53;30.48;30.87
3.8.2026 9:53:03 ;996.54;30.57;31.63
3.8.2026 9:54:03 ;996.55;30.97;30.68
3.8.2026 9:55:03 ;996.56;31.47;30.21
3.8.2026 9:56:03 ;996.55;31.93;29.56
3.8.2026 9:57:03 ;996.57;32.35;28.92
3.8.2026 9:58:03 ;996.55;32.75;28.41
3.8.2026 9:59:03 ;996.53;33.11;27.95
3.8.2026 10:00:03 ;996.53;33.44;27.46
3.8.2026 10:01:03 ;996.52;33.72;27.10
3.8.2026 10:02:03 ;996.51;34.00;26.75
3.8.2026 10:03:03 ;996.53;34.22;26.49
3.8.2026 10:04:03 ;996.52;34.44;26.18
3.8.2026 10:05:03 ;996.52;34.62;25.93
3.8.2026 10:06:03 ;996.52;34.77;25.78
3.8.2026 10:07:03 ;996.50;34.90;25.62
3.8.2026 10:08:03 ;996.50;35.04;25.49
3.8.2026 10:09:03 ;996.49;35.14;25.38
3.8.2026 10:10:03 ;996.50;35.26;25.31
3.8.2026 10:11:03 ;996.48;35.34;25.28
3.8.2026 10:12:03 ;996.48;35.41;25.16
3.8.2026 10:13:03 ;996.49;35.51;25.12
3.8.2026 10:14:03 ;996.46;35.56;25.11
3.8.2026 10:15:03 ;996.47;35.64;25.06
3.8.2026 10:16:03 ;996.45;35.71;25.24
3.8.2026 10:17:03 ;996.46;35.72;25.63
3.8.2026 10:18:03 ;996.47;35.69;26.42
3.8.2026 10:19:03 ;996.46;35.61;25.79
3.8.2026 10:20:03 ;996.45;35.15;26.45
3.8.2026 10:21:03 ;996.43;34.74;27.10
3.8.2026 10:22:03 ;996.43;34.49;27.33
3.8.2026 10:23:03 ;996.42;33.95;27.86
3.8.2026 10:24:03 ;996.43;33.55;28.25
3.8.2026 10:25:03 ;996.43;33.23;28.50
3.8.2026 10:26:03 ;996.45;32.88;28.84
3.8.2026 10:27:03 ;996.45;32.64;29.19
3.8.2026 10:28:03 ;996.46;32.43;29.37
3.8.2026 10:29:03 ;996.47;32.09;29.72
3.8.2026 10:30:03 ;996.47;31.76;30.06
3.8.2026 10:31:03 ;996.46;31.60;30.28
3.8.2026 10:32:03 ;996.46;31.50;30.49
3.8.2026 10:33:03 ;996.46;31.57;30.64
3.8.2026 10:34:03 ;996.48;31.56;30.69
3.8.2026 10:35:03 ;996.49;31.57;30.63
3.8.2026 10:36:03 ;996.47;31.43;30.69
3.8.2026 10:37:03 ;996.49;31.21;30.90
3.8.2026 10:38:03 ;996.48;31.05;30.97
3.8.2026 10:39:03 ;996.47;31.02;31.05
3.8.2026 10:40:03 ;996.47;30.98;31.29
3.8.2026 10:41:03 ;996.47;31.06;31.18
3.8.2026 10:42:03 ;996.46;31.17;31.03
3.8.2026 10:43:03 ;996.45;31.07;30.88
3.8.2026 10:44:03 ;996.44;30.93;31.12
3.8.2026 10:45:03 ;996.43;30.84;31.09
3.8.2026 10:46:03 ;996.44;30.72;31.17
3.8.2026 10:47:03 ;996.45;30.65;31.22
3.8.2026 10:48:03 ;996.45;30.60;31.26
3.8.2026 10:49:03 ;996.46;30.52;31.31
3.8.2026 10:50:03 ;996.46;30.50;31.39
3.8.2026 10:51:03 ;996.47;30.49;31.35
3.8.2026 10:52:03 ;996.47;30.59;31.49
3.8.2026 10:53:03 ;996.47;31.23;31.20
3.8.2026 10:54:03 ;996.49;31.77;30.38
3.8.2026 10:55:03 ;996.50;32.19;29.71
3.8.2026 10:56:03 ;996.50;32.60;29.12
3.8.2026 10:57:03 ;996.50;32.97;28.59
3.8.2026 10:58:03 ;996.49;33.30;28.18
3.8.2026 10:59:03 ;996.48;33.63;27.75
3.8.2026 11:00:03 ;996.46;33.89;27.36
3.8.2026 11:01:03 ;996.48;34.11;27.09
3.8.2026 11:02:03 ;996.48;34.35;26.81
3.8.2026 11:03:03 ;996.48;34.52;26.62
3.8.2026 11:04:03 ;996.49;34.65;26.42
3.8.2026 11:05:03 ;996.49;34.79;26.26
3.8.2026 11:06:03 ;996.48;34.93;26.06
3.8.2026 11:07:03 ;996.48;35.04;25.95
3.8.2026 11:08:03 ;996.48;35.16;25.80
3.8.2026 11:09:03 ;996.49;35.24;25.74
3.8.2026 11:10:03 ;996.49;35.31;25.62
3.8.2026 11:11:03 ;996.48;35.39;25.57
3.8.2026 11:12:03 ;996.49;35.46;25.55
3.8.2026 11:13:03 ;996.48;35.55;25.43
3.8.2026 11:14:03 ;996.48;35.59;25.39
3.8.2026 11:15:03 ;996.48;35.67;25.33
3.8.2026 11:16:03 ;996.46;35.73;25.32
3.8.2026 11:17:03 ;996.45;35.77;25.26
3.8.2026 11:18:03 ;996.44;35.86;25.29
3.8.2026 11:19:03 ;996.44;35.90;25.20
3.8.2026 11:20:03 ;996.48;35.95;25.17
3.8.2026 11:21:03 ;996.46;36.02;25.18
3.8.2026 11:22:03 ;996.46;36.07;25.08
3.8.2026 11:23:03 ;996.45;36.11;25.04
3.8.2026 11:24:03 ;996.46;36.16;25.03
3.8.2026 11:25:03 ;996.47;36.21;25.01
3.8.2026 11:26:03 ;996.46;36.26;25.01
3.8.2026 11:27:03 ;996.44;36.28;24.96
3.8.2026 11:28:03 ;996.42;36.31;24.96
3.8.2026 11:29:03 ;996.43;36.38;24.90
3.8.2026 11:30:03 ;996.42;36.38;24.94
3.8.2026 11:31:03 ;996.41;36.40;24.93
3.8.2026 11:32:03 ;996.43;36.47;24.98
